id,device_id,msg_type,latitude,longitude,height,solution_type,diff_age,station_id,source_channel,raw_data,gnss_time,e_accuracy,n_accuracy,u_accuracy,server_id,created_at
1,SIM-001,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1783993747,135.0,135.0,270.0,YN-ZT-YS-001,1783993747
2,SIM-003,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1783993750,135.0,135.0,270.0,YN-ZT-YS-001,1783993750
3,SIM-001,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1783997141,135.0,135.0,270.0,YN-ZT-YS-001,1783997141
4,SIM-003,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1783997142,135.0,135.0,270.0,YN-ZT-YS-001,1783997142
5,RTK001,GPGGA,30.5,120.2,50.0,1,0.0,"",api_upload,"",1783997277,0.0,0.0,0.0,YN-ZT-YS-001,1783997277
6,RTK001,GPGGA,30.51,120.21,50.5,1,0.0,"",api_upload,"",1783997277,0.0,0.0,0.0,YN-ZT-YS-001,1783997277
7,RTK001,GPGGA,30.52,120.22,51.0,1,0.0,"",api_upload,"",1783997277,0.0,0.0,0.0,YN-ZT-YS-001,1783997277
8,SIM-001,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784002985,135.0,135.0,270.0,SURVEY-SRV-001,1784002985
9,SIM-002,BESTPOS,30.880631,120.157907,58.68,0,0.0,"","","",1784002985,0.6,0.8999999999999999,0.0,SURVEY-SRV-001,1784002985
10,SIM-003,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784002985,135.0,135.0,270.0,SURVEY-SRV-001,1784002985
11,weak-000,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007971,135.0,135.0,270.0,SURVEY-SRV-001,1784007971
12,weak-001,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007973,135.0,135.0,270.0,SURVEY-SRV-001,1784007973
13,weak-002,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007973,135.0,135.0,270.0,SURVEY-SRV-001,1784007973
14,weak-003,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
15,weak-004,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
16,weak-005,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
17,weak-006,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
18,weak-007,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
19,weak-008,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
20,weak-009,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
21,weak-010,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
22,weak-011,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
23,weak-012,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
24,weak-013,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
25,weak-014,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
26,weak-015,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
27,weak-016,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
28,weak-017,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
29,weak-018,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
30,weak-019,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
31,loss-000,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
32,loss-001,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
33,loss-002,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
34,loss-004,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
35,loss-005,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
36,loss-006,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
37,loss-007,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
38,loss-008,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007974,135.0,135.0,270.0,SURVEY-SRV-001,1784007974
39,loss-009,GPGGA,30.43134385,120.26929845,58.68,1,0.0,"","","",1784007975,135.0,135.0,270.0,SURVEY-SRV-001,1784007975
